"dataset","iter","sse"
"Alan_Ball","0","5.361727"
"Alan_Ball","1","2.938472"
"Alan_Ball","2","2.724987"
"Alan_Ball","3","2.721526"
"Nancy_Sinatra","0","5.147406"
"Nancy_Sinatra","1","2.50554"
"Nancy_Sinatra","2","2.427441"
"Nancy_Sinatra","3","2.273412"
"Nancy_Sinatra","4","2.165005"
"Nancy_Sinatra","5","2.11342"
"Nancy_Sinatra","6","2.103024"
"Peter_Gilmour","0","9.320231"
"Peter_Gilmour","1","5.937385"
"Peter_Gilmour","2","5.74209"
"Peter_Gilmour","3","5.640005"
"Peter_Gilmour","4","5.4519"
"Peter_Gilmour","5","5.431153"
